bug_commit_hash,ns,nd,entropy,lt,fix,age,ndev,nuc,commit,exp_of_files,exp_of_codes,exp,rexp,sexp,la,ld,lines_of_modified_code,nf,candidate_commit_to_fix,is_Friday,is_latest_bic,is_largest_mod,is_earliest_bic,label
d6e4936fa54dc3577296dbadaeb556178dcad2c3,1,1,0.0,428.0,0,0.0063425925925925,2,38,2bbb9b96085a2758ddef96e9cc8bc24b2a3d3eda,3371,305387,947,632.5,697.0,3,1,4,1,6460,0,0,0,0,0
d6e4936fa54dc3577296dbadaeb556178dcad2c3,1,2,1.584962500721156,821.3333333333334,0,0.0346296296296296,13,231,abfa7d743cf159a25f54ddcdc84d375c7a9df21e,3829,412968,1391,1076.5,1080.0,23,15,38,3,73339,0,0,0,0,0
d6e4936fa54dc3577296dbadaeb556178dcad2c3,1,2,2.0,434.75,0,0.0308564814814814,5,73,d6e4936fa54dc3577296dbadaeb556178dcad2c3,11668,2262902,1784,883.4166666666666,709.0,70,5,75,4,20663,0,0,0,0,1
d6e4936fa54dc3577296dbadaeb556178dcad2c3,1,1,0.0,462.0,0,0.0198263888888888,3,45,9a6aa07089f195a95f15703e712ee95e077a7a09,13279,2436994,2433,1532.4166666666667,1163.0,10,1,11,1,1766,1,0,0,0,0
d6e4936fa54dc3577296dbadaeb556178dcad2c3,1,1,0.0,438.0,1,0.0149537037037037,2,42,af546ae10190ac076cd7b091cd064fb8a5c03519,3596,334895,1146,831.5,865.0,12,4,16,1,77715,0,0,0,0,0
d6e4936fa54dc3577296dbadaeb556178dcad2c3,1,1,0.0,486.0,0,0.3679050925925926,4,50,b4ea59bf7cfec8f505622dd80903d2f8a4461570,4,46,1,2.0,1.0,5,2,7,1,28224,0,1,0,0,0
d6e4936fa54dc3577296dbadaeb556178dcad2c3,1,2,1.584962500721156,716.6666666666666,0,0.1680902777777777,5,170,9ff4d7b2bc0830e96c7d844f2ffc7d5da798b646,3076,235636,779,464.5,546.0,26,14,40,3,17484,0,0,0,0,0
05cd6cca01ab86272cedc6b3891d3922e184513e,2,3,2.0,185.5,0,0.0211574074074074,2,60,244fc31d2c26220324065a84ff1c02cf686d88a6,67,7507,125,126.0,61.0,129,118,247,4,69431,0,0,1,1,0
05cd6cca01ab86272cedc6b3891d3922e184513e,1,1,0.0,223.0,0,0.0014467592592592,2,24,05cd6cca01ab86272cedc6b3891d3922e184513e,74,12652,241,242.0,72.0,60,36,96,1,37775,0,1,0,0,1
05cd6cca01ab86272cedc6b3891d3922e184513e,1,1,0.0,220.0,0,0.0604976851851851,2,23,d5f622e10b45eafc306d465149fb43a75c4c4e57,74,12639,240,241.0,71.0,8,5,13,1,37900,0,0,0,0,0
6dd6aae158dd85bcbcd0d5f4bca713291b6635a5,1,1,0.0,764.0,1,1.9791087962962963,1,3,6dd6aae158dd85bcbcd0d5f4bca713291b6635a5,84,77037,221,216.0,10.0,2,2,4,1,2490,0,1,1,1,1
622ef8059c4f743f32d03343b875e717b260f25c,1,1,0.0,403.0,0,0.0083912037037037,1,1,622ef8059c4f743f32d03343b875e717b260f25c,0,0,0,1.0,0.0,9,37,46,1,329,1,1,1,1,1
51fc2f10cc1cd224ea2c9d6f5b692e8ebaf2c956,2,3,1.584962500721156,619.3333333333334,0,0.0121412037037037,3,102,99f5c45a1659b5a708812c5fea3899aea5b73669,3189,1019791,399,400.0,310.0,57,52,109,3,57978,0,0,1,1,0
51fc2f10cc1cd224ea2c9d6f5b692e8ebaf2c956,1,1,0.0,1465.0,1,0.5670601851851852,6,112,51fc2f10cc1cd224ea2c9d6f5b692e8ebaf2c956,77,7548,36,37.0,4.0,12,3,15,1,7621,1,1,0,0,1
8973df6f2c871620ecf6768b839d7bfcb7cb4bfd,1,1,0.0,417.0,0,0.3408449074074074,1,2,8973df6f2c871620ecf6768b839d7bfcb7cb4bfd,73,3614,31,13.833333333333332,7.0,19,3,22,1,560,0,1,0,0,1
8973df6f2c871620ecf6768b839d7bfcb7cb4bfd,1,1,1.0,0.0,0,0.0,0,0,78f8c27ef9f6cd06a4a15e804d1b086cf6408724,71,3101,29,11.833333333333332,5.0,266,0,266,2,16929,0,0,1,1,0
8973df6f2c871620ecf6768b839d7bfcb7cb4bfd,1,1,1.0,133.0,0,1.8486111111111112,1,1,be3847181628b05a8dc6a10257e34fe769af0a18,73,3367,30,12.833333333333332,6.0,234,13,247,2,30009,0,0,0,0,0
e1dba13bd439efdf1c8013ea71fb8c07a041543d,3,1,1.584962500721156,174.33333333333334,0,0.0994444444444444,1,10,4884f263392d73f8ad7864736e8a84fd41b7f4a6,6,616,16,17.0,10.0,77,4,81,3,18870,0,0,1,1,0
e1dba13bd439efdf1c8013ea71fb8c07a041543d,1,1,0.0,212.0,0,0.0013194444444444,3,20,3d540707c747f645e0594bf2d376e98bb8d73d5c,7,1261,44,26.5,14.0,3,3,6,1,81025,0,1,0,0,0
89e0a64ab297d35f713ae479089b85ff1513ede5,1,1,0.0,1414.0,1,0.0229513888888888,12,81,89e0a64ab297d35f713ae479089b85ff1513ede5,33,1500,71,60.5,1.0,9,6,15,1,67106,0,1,1,1,1
2ae7c8312dd865532b8f439842de9be6c9076cd7,1,1,0.0,935.0,0,0.1433680555555555,2,2,2ae7c8312dd865532b8f439842de9be6c9076cd7,172,18696,154,122.66666666666669,73.0,17,11,28,1,2424,0,1,1,1,1
c390594d246acedbbfee0b3fd5427acb8498e1d4,1,1,0.0,4490.0,1,0.0140972222222222,3,4,c390594d246acedbbfee0b3fd5427acb8498e1d4,6,25,6,7.0,5.0,1,1,2,1,63268,0,1,0,0,1
c89fa0cda767be4667300d7a2c07635be9c04c32,2,135,10.838416075797662,0.0327689787001638,0,0.1230787037037037,1,1,e41b2fb359d69543359c625e130f01456974a8cb,2957,631816,3,4.0,2.0,835221,60,835281,1831,77666,1,1,1,1,0
52141760c0cff7500805419431f29464c1cefbdf,1,1,0.0,191.0,0,0.7402893518518519,2,11,52141760c0cff7500805419431f29464c1cefbdf,2708,1664364,837,298.33333333333337,481.0,5,1,6,1,26399,0,1,0,0,1
52141760c0cff7500805419431f29464c1cefbdf,4,4,3.459431618637298,149.1818181818182,0,0.8814583333333335,5,137,71870a32d2c93b2eb5a63c56daba1bcc3137f119,2468,1142820,418,306.0,340.0,470,110,580,11,15049,0,0,1,1,0
52141760c0cff7500805419431f29464c1cefbdf,5,6,3.8073549220576055,137.14285714285714,1,2.169525462962963,22,208,3cc8d02e205af92659a803f32fd53c75390a99ba,2699,1658767,812,444.3333333333333,582.0,278,17,295,14,84450,0,0,0,0,0
38ff1a113771f344ad04d9047e20e9f69212ac63,3,3,1.584962500721156,493.6666666666667,0,1.2324189814814814,4,86,43129239d6962a710eda9f89b5e3f1092d427f08,707,267807,5084,820.9880952380952,4548.0,51,0,51,3,35851,0,0,0,0,0
38ff1a113771f344ad04d9047e20e9f69212ac63,1,1,1.0,129.0,0,0.6096180555555556,1,3,aa92e37b37da2d3035952b8d540cb03abc216dd4,406,47226,940,508.6666666666667,0.0,146,28,174,2,9748,0,0,0,1,0
38ff1a113771f344ad04d9047e20e9f69212ac63,1,6,4.169925001442313,112.77777777777776,0,0.5551157407407407,4,66,371a40e0047519546d2f32dd9b8fb2fe609d9392,149,19123,40,41.0,0.0,1002,111,1113,18,84506,0,0,1,0,0
38ff1a113771f344ad04d9047e20e9f69212ac63,1,1,0.0,349.0,1,0.000625,4,18,38ff1a113771f344ad04d9047e20e9f69212ac63,88,7618,245,90.25,222.0,14,0,14,1,75874,0,1,0,0,1
dfedd3fdc4864040babcdc8526df005e0d4320bc,1,2,1.584962500721156,91.0,1,0.978125,7,72,dfedd3fdc4864040babcdc8526df005e0d4320bc,2,12,1,2.0,1.0,27,6,33,3,6521,0,1,1,1,1
12f60b44993a30aa0307cfa51096a56e44c67413,1,1,0.0,319.0,0,0.0204282407407407,1,8,79494b6150cd000d71f9d5dc017ba697f669113a,1,463,8,9.0,8.0,6,0,6,1,21835,0,0,0,1,0
12f60b44993a30aa0307cfa51096a56e44c67413,1,1,0.0,927.0,0,1.770462962962963,5,68,c05e2cbc93bbefb147ca542aaa75fd7243d8e45e,23,4245,95,96.0,58.0,3,1,4,1,57029,0,0,0,0,0
12f60b44993a30aa0307cfa51096a56e44c67413,1,1,0.0,768.0,1,0.0592708333333333,4,40,ced16579362a3bffd0c78f9efe095c5edfee22db,18,3428,56,57.0,34.0,95,71,166,1,82708,0,0,1,0,0
12f60b44993a30aa0307cfa51096a56e44c67413,1,1,0.0,1015.0,0,0.0251967592592592,5,79,12f60b44993a30aa0307cfa51096a56e44c67413,29,4918,118,60.0,67.0,81,67,148,1,34537,0,1,0,0,1
12f60b44993a30aa0307cfa51096a56e44c67413,1,1,0.0,805.0,0,10.875486111111112,5,51,8aa01045957205ea422877beae40f500982d0bab,18,3684,64,65.0,42.0,28,8,36,1,68336,0,0,0,0,0
12f60b44993a30aa0307cfa51096a56e44c67413,1,1,0.0,977.0,0,0.0654513888888888,5,74,3d45aeb9e83a5f27ab069f6b394318141c9eaa9a,23,4387,100,101.0,63.0,22,8,30,1,57743,0,0,0,0,0
12f60b44993a30aa0307cfa51096a56e44c67413,1,1,0.0,325.0,0,4.626550925925926,1,9,707779c2ab9f05e95940fcd3a8bbb4c375df46c5,1,469,9,10.0,9.0,44,20,64,1,54101,1,0,0,0,0
e41ab74ec644d403cafe25b68a6cd080bbdbf75b,4,2,2.0,1.0,0,0.0739004629629629,1,1,5e658c96961241ed7e985a5e936375243bebbeca,0,0,0,1.0,0.0,1071,1,1072,4,12382,1,0,1,1,0
e41ab74ec644d403cafe25b68a6cd080bbdbf75b,2,2,1.0,134.5,0,0.0301388888888888,2,3,e41ab74ec644d403cafe25b68a6cd080bbdbf75b,1,4,1,2.0,1.0,29,51,80,2,36124,0,1,0,0,1
599b800b7c0f33ab49a3395bfae2399fc2617196,1,1,0.0,851.0,0,0.248287037037037,5,14,599b800b7c0f33ab49a3395bfae2399fc2617196,0,0,0,0.0,0.0,12,10,22,1,46259,0,1,1,1,1
1603a98a0ab8dfe42b3406d7f2ede0e5d52d6521,2,2,1.584962500721156,340.0,0,0.0869907407407407,2,6,2048f707103ddbb09c64d0d1763a2b4c8a582c5d,195,24604,17,18.0,12.0,52,7,59,3,65059,0,0,0,1,0
e999b641df85c4e7fa89dde1c681ddd1d38b0090,1,1,1.0,406.0,0,0.0001041666666666,33,117,b911518d1c17223aa7fb83ace08b2bd41c203da0,180,17077,640,429.08333333333337,436.0,53,24,77,2,12631,1,1,0,0,0
e999b641df85c4e7fa89dde1c681ddd1d38b0090,1,1,2.0,182.75,0,0.1068634259259259,92,409,9405f733d90f64ee45f47a253056c09caa7bf838,53,2028,108,93.53333333333332,77.0,212,11,223,4,61583,0,0,1,1,0
c97a01947ea05654121cc8211908375637e4a7ac,1,1,0.0,215.0,1,0.004699074074074,11,18,5ee0487184539babef74afa92f20e8a11c3f80e5,4,33,3,3.5,2.0,15,13,28,1,22243,0,0,0,0,0
c97a01947ea05654121cc8211908375637e4a7ac,1,2,1.584962500721156,45.0,0,0.1296296296296296,12,21,2a75cacc30c8d02acc83094b47ae8a6900c0975b,4,232,2,1.5,2.0,383,7,390,3,56849,0,0,1,1,0
c97a01947ea05654121cc8211908375637e4a7ac,1,1,0.0,23.0,0,0.0205671296296296,1,2,aab99e5f036957e90e46dfce76282d93132f4a72,1,0,1,2.0,1.0,5,0,5,1,2844,0,1,0,0,0
37b84fb6425485bd5f2ab0396885a9a9d616e47c,1,1,0.0,92.0,0,0.766261574074074,1,5,37b84fb6425485bd5f2ab0396885a9a9d616e47c,371,1533775,136,90.5,18.0,11,6,17,1,11860,1,1,1,1,1
43e45eb94e1aa0d1c4dbd10e99df8e366f637261,2,5,3.459431618637298,1718.7272727272727,0,3.448645833333333,42,163,43e45eb94e1aa0d1c4dbd10e99df8e366f637261,5,311,2,3.0,1.0,370,762,1132,11,22652,0,1,1,1,1
dc077b83c9b1f107efbc3483743f44117748f23c,1,10,3.584962500721156,265.6666666666667,0,0.5827893518518518,55,244,dc077b83c9b1f107efbc3483743f44117748f23c,122,10559,111,69.5,111.0,91,147,238,12,46790,0,1,1,1,1
