project,commit_id,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
tor_1,0092982539f883903691ba0a45d88ee7abff56d3,1,1,4,0.466329,2178,1264.91,2077,6,0.814308,0,1,24,1,1349.25
tor_1,00941b01714b08623110ee831a0f479ce194b389,1,1,3,0.169709,3057,1327.81,568,6,0.107473,428.333,0,49,5,2488
tor_1,009453f919825c40ad12b2b89c8754bcb53fa8f9,0,0,0,0,7199,1886.1,0,0,0,0,0,0,0,0
tor_1,00967cd2a87f8ef4c30bfcebd8eae9c9fb2ed251,1,1,1,0,276,197.661,267,3,5.95431,27,0,4,1,1253
tor_1,009752823af6d263481b21ebcb2dd8d725dc97e7,1,1,1,0,4895,1703.36,2070,2,69.8683,2,0,28,6,54
tor_1,009b5778b2fcc6050e86bd25a23ce6eaf6bf7425,1,1,1,0,21347,3867.94,2798,1,6.11622,1,0,0,5,5
tor_1,009d7173e93709539f368eb054b741a0862861b7,1,1,1,0,2918,1447.61,2749,4,1.05444,0,0,1,1,7
tor_1,00a02a3a59f6e44619e6caed150b001acae37231,1,1,11,0.0982502,111,87.2296,104,39,-95.2019,114.818,0,1077,64,1328.18
tor_1,00a064641174b574404935a80c79a1296271430f,1,1,1,0,2513,1368.52,2372,2,16.2922,0,0,8,6,249
tor_1,00a0de8508f4cb5ab28b91884c3ca1733e2a174f,3,3,3,1,6733,1853.17,4224,17,0.885058,236.667,0,3,3,594
tor_1,00a12337ff068d47d92352541665ee73cbd9ff4b,0,0,0,0,14156,3650.07,0,0,0,0,0,0,0,0
tor_1,00a42277eaa5838e5b7d0b07a53db01780232511,0,0,0,0,16006,4194.68,0,0,0,0,0,0,0,0
tor_1,00a45a900ed4784b2a1110fef3a2e5eefb4b049a,1,1,1,0,1346,859.433,368,7,0.962998,26,0,80,0,1180
tor_1,00a473733d78f15d59c48d3244d7fc8302c8314c,1,7,7,0.383343,58,42.0341,29,2,177.889,1,0,20,20,19.4286
tor_1,00a7d1af9f0b1658f74fca00cff339696d326c4d,1,1,1,0,111,66.2308,103,4,4.82921,18,0,15,3,373
tor_1,00a90177fa324e623ad2fd07ce4180f443807b8d,1,1,1,0,4602,1598.61,1826,5,0.000300926,1049,0,0,2,5276
tor_1,00a9fafdbabe71f56d37ff4bc69d3920278d380b,0,0,0,0,17655,4618.45,0,0,0,0,0,0,0,0
tor_1,00ab8cb34d77303d33b8c31207bbce25e3814464,1,1,1,0,3655,1685.13,3424,3,0.00378472,0,1,7,4,2377
