project,commit_id,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
pig,3f96f9ea9b744f6583e8558fa5ca18cc32f765aa,3,1,1,0,23,20.3887,41,1,0.000000,1.000000,0,27,1,28.000000
pig,eb2d5d9afe92ace84e2fb0c07e8a5f9cbda1f4a3,2,5,6,0,42,37.9418,62,1,0.000000,0.166667,0,471,5,79.333333
pig,0415f03dfe1fcf13e32a11b54c0d1f6ce7688767,2,1,1,0,43,38.5839,64,1,0.000000,1.000000,0,16,14,30.000000
pig,ac6a6144c6193dbb02748d8d7846d7122b624053,3,1,0,0,24,21.174,44,1,0,0,0,0,0,0
pig,b649672a5518a9bceace645092ba125c7d25ff14,3,4,5,0,25,22.081,47,1,0.000000,0.200000,0,663,1,132.800000
pig,3998587f9d2b76966e689098fdbcfc39917b17e1,1,2,2,0,26,23.0715,17,1,0.000000,0.500000,1,2,2,2.000000
pig,d9418877b7cb6042af1d02d3c70558d09ac0a221,2,1,1,0,27,24.0666,42,1,0.000000,1.000000,0,31,1,32.000000
pig,10b873027d9c19f3f3c5d3a290c37bb64a86e8d7,2,8,18,0,44,38.8032,47,1,0.000000,0.055556,0,789,667,80.888889
pig,588d123b105a75bd531859c97a77353a07c10235,2,3,1,0,1,0.74804,2,1,0.000000,1.000000,0,111,0,111.000000
pig,b87ca8c93cf78be0d1818b69ff36263a9ef017a7,4,2,0,0,45,39.3483,34,1,0,0,0,0,0,0
pig,080304cc66baa9e080d2c88908b0ba21eed73eea,3,15,42,0,46,40.3406,83,1,0.000000,0.023810,0,462,135,14.214286
pig,ec488149296a1dfa069f2c0ccb74e91cd1aaa4b1,4,4,4,0,47,41.2023,70,1,0.000000,0.250000,0,182,46,57.000000
pig,e6162f0937855bf8a33d6dfad3855eb4a390ad50,2,1,1,0,48,42.0397,71,1,0.000000,1.000000,1,8,1,9.000000
pig,6cf04a3cf3ac363168e38cc184fee9603daf00da,6,7,5,0,28,24.2349,56,1,0.000000,0.200000,0,331,138,93.800000
pig,8696874af04eaca9425638c61033b2052cbed586,1,1,1,0,29,25.1868,2,1,0.000000,1.000000,1,1,1,2.000000
pig,37dec9c4cf044ecf00229c44e1eee989ac27faf9,3,6,3,0,30,26.16,50,1,0.000000,0.333333,0,62,10,24.000000
pig,78dca28e829f939e1aa9fa33a1c25ed6f998ceff,3,3,4,0,31,26.906,57,1,0.000000,0.250000,1,89,4,23.250000
pig,f491ad663e5aff909fd6845469148cd065321d3d,3,12,26,0,32,27.7919,60,1,0.000000,0.038462,1,624,397,39.269231
pig,894743595f0e0018ceb8ead8a94cff4abd41413f,1,2,10,0,33,28.7857,23,1,0.000000,0.100000,1,1335,0,133.500000
pig,3f4eb84c1e302a636f8938986899195bb3f706c2,2,2,7,0,49,42.3012,53,1,0.000000,0.142857,0,21,24,6.428571
pig,b6e175b265435980254eed8c0b41ea6fadabe500,3,3,13,0,50,43.2919,72,1,0.000000,0.076923,0,289,48,25.923077
pig,6d0fac95b28b5205ebd99c125ab932c7812d4c67,2,1,1,0,34,29.7068,53,1,0.000000,1.000000,1,1,1,2.000000
pig,9bffa8e424c3d3a20a8fc37ccc8a296fa1ca1292,2,6,50,0,51,44.2049,57,1,0.000000,0.020000,1,2520,719,64.780000
pig,1deaf5e896f04f86e2f95ce10a8ed9a975307c12,2,1,1,0,52,45.1738,76,1,0.000000,1.000000,1,14,9,23.000000
pig,6f1e48d59e54dd331d1dc10b2a71891ec5a2768c,2,1,1,0,35,30.6491,55,1,0.000000,1.000000,0,4,4,8.000000
pig,6419f94ff71ed3f3ecee949723a81f4db6f10607,3,10,22,0,53,45.8888,78,1,0.000000,0.045455,1,1939,2,88.227273
pig,495f7394e3a8f8c64e1ec1fda7fc5ea10b83f0e0,1,0,0,0,54,46.8633,34,1,0,0,0,0,0,0
pig,63148d07dc3f73259793011debed7086fcb4c9e8,3,14,22,0,36,31.4021,68,1,0.000000,0.045455,0,981,147,51.272727
pig,ab0637a80e6b1aa37b9e7308868935f5e61d6c7c,2,6,8,0,55,47.7498,64,1,0.000000,0.125000,0,8,40,6.000000
pig,2f958780ac2d7a6a0bb3bde64201558cf4d7a981,4,14,25,0,37,32.3275,74,1,0.000000,0.040000,0,886,474,54.400000
pig,3dfb0b1013e397624927e364844db304be740f54,3,10,32,0,56,48.6442,83,1,0.000000,0.031250,0,3352,1447,149.968750
pig,6e175c6b20531a8d7939205fe6173252af34c70e,2,3,4,0,38,33.2518,61,1,0.000000,0.250000,1,71,16,21.750000
pig,2d7cea67554177d00732a36c6676c3760c768bb1,2,3,3,0,39,34.165,63,1,0.000000,0.333333,1,19,2,7.000000
pig,1f8f5959ec24f5aae57419a9047477337bd0693b,3,8,26,0,57,49.4026,86,1,0.000000,0.038462,0,3285,352,139.884615
