project,commit_id,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
tor,0087fe36c10554dca69697912fceb1a97601e1ca,0,0,0,0,12549,3113.46,0,0,0,0,0,0,0,0
tor,00885652db8146d992bcf96315a45e7820688145,1,1,2,0.110372,153,109.099,138,19,1.16996,966,0,117,8,2920
tor,008a0c7c46fb5bcec4096a0376aa88a92e449c48,1,1,1,0,2076,936.643,1646,2,0.712743,4,0,36,2,1602
tor,008dc890d8d393f3a7be8ffae131632e46c5bc53,1,1,2,0.47756,4787,1428.91,3755,2,3.0241,2,1,10,4,420.5
tor,009205dabe4ba7aba43dffead4087ca94ef9a8e3,1,1,1,0,235,124.43,73,0,0,0,0,3,0,0
tor,00941b01714b08623110ee831a0f479ce194b389,1,1,3,0.169709,2932,1280.81,2277,6,0.107473,428.333,0,49,5,2488
tor,009453f919825c40ad12b2b89c8754bcb53fa8f9,0,0,0,0,6787,1800.67,0,0,0,0,0,0,0,0
tor,00967cd2a87f8ef4c30bfcebd8eae9c9fb2ed251,1,1,1,0,276,197.661,267,3,5.95431,27,0,4,1,1253
tor,009752823af6d263481b21ebcb2dd8d725dc97e7,1,1,1,0,4527,1534.59,3599,2,69.8683,2,0,28,6,54
tor,009f2f6dbbd395f4776204fcec7277ec1f4f6c28,3,3,3,0.491133,175,137.905,199,2,40.6483,1,0,7,0,4
tor,00a02a3a59f6e44619e6caed150b001acae37231,1,1,11,0.0982502,111,87.2296,104,39,-95.2019,114.909,0,1077,64,1328.18
tor,00a0de8508f4cb5ab28b91884c3ca1733e2a174f,3,3,3,1,6334,1765.79,5774,17,0.885058,236.667,0,3,3,594
tor,00a12337ff068d47d92352541665ee73cbd9ff4b,0,0,0,0,13166,3260.22,0,0,0,0,0,0,0,0
tor,00a42277eaa5838e5b7d0b07a53db01780232511,0,0,0,0,14810,3769.19,0,0,0,0,0,0,0,0
tor,00a45a900ed4784b2a1110fef3a2e5eefb4b049a,1,1,1,0,1163,738.099,368,7,0.962998,26,0,80,0,1180
tor,00a473733d78f15d59c48d3244d7fc8302c8314c,1,7,7,0.383343,58,42.0341,29,2,177.889,1,0,20,20,19.4286
tor,00a71ab88254565a347e49add65c8ec9c8709154,1,1,1,0,1608,979.798,294,3,0.789606,201,0,2,2,350
tor,00a7a37c94e2cb788941202a1c3b824f6ebf6df0,1,1,1,0,2367,1271.34,1574,2,11.5455,158,0,1,1,923
tor,00a7d1af9f0b1658f74fca00cff339696d326c4d,1,1,1,0,111,66.2308,103,4,4.82921,18,0,15,3,373
tor,00a90177fa324e623ad2fd07ce4180f443807b8d,1,1,1,0,4282,1455.36,3393,5,0.000300926,1049,0,0,2,5276
tor,00a9e3732e88d73860b772dcbac0b8275aa7f467,2,4,15,0.205886,97,77.0817,104,6,79.2181,6,0,580,999,258.933
tor,00acccac644c20803d11ef7e162ae327eb834cf7,0,0,0,0,604,258.468,0,0,0,0,0,0,0,0
tor,00aefaab6bc4ccb2ec737c7bf5eb0c4aec961c36,1,1,2,0.57938,3507,1544.84,2314,6,0.00251157,543,0,3,3,3049.5
tor,00b073b1bc909d2d2a30a3c1ddd5abd5e670da80,0,0,0,0,450,150.523,0,0,0,0,0,0,0,0
tor,00b13cb09170e5144516698429c29975abe2de10,0,0,0,0,10999,2615.92,0,0,0,0,0,0,0,0
tor,00b2b69add373f168e8729e99f349ec5a3753db3,2,5,15,0.584986,6301,1768.92,4779,34,61.6968,248.267,1,55,49,2212.73
tor,00b37f071d2c96612892340f5f883b869033d6a1,2,3,4,0.270629,4738,1421.47,4730,20,19.1373,657,1,28,20,4114
tor,00b4784575c88d5de15886b440096c1e2b9fb080,1,2,2,0.546218,6640,1789.01,4650,12,40.6738,180,0,4,18,2012
tor,00b59d92817f34c60fe9bc1f8b72b6e81ae1c431,1,3,3,0.75,618,302.843,552,36,62.0722,296.667,0,4,8,2094.67
tor,00b75791c46be0ce91380b565e856a3d4779b07a,1,1,1,0,1414,824.203,313,4,0.114688,315,0,2,3,405
tor,00bc18b84799afcb6a48e0ee9273e155e3d2a54e,0,0,0,0,17125,4273.97,0,0,0,0,0,0,0,0
tor,00bcc25d05dc0273323a2cae20c6aa62afd4b50a,1,1,3,0.491133,8217,2125.53,5508,24,2.67194,219.667,0,4,3,2157
tor,00bdd56b18e1441510e770b16bd869968839153b,1,1,1,0,12164,2901.38,7537,3,0.440255,24,0,5,4,649
tor,00bf4ed592edfe73505499ce525aa3c96d35ae34,0,0,0,0,13957,3493.63,0,0,0,0,0,0,0,0
tor,00c2ba4841ddeaca80d48eed4f16d2b8f006187d,1,1,1,0,2512,1306.86,1650,4,0.00148148,388,0,8,1,3306
tor,00c3fba61c778981903bd9598d2eaa27f51e51a7,1,1,1,0,734,528.578,67,1,1.55609,1,1,1,1,261
tor,00c945af6cc81f7ccf01edf3c809599721652342,1,1,1,0,1025,701.494,226,2,0.0408449,74,1,2,2,863
tor,00ca3d04cfa0625349a47d1a2f7c16ac66e7822d,0,0,0,0,504,194.552,0,0,0,0,0,0,0,0
tor,00cdb17a5427c22b5abc7362ca8b0b5daaf7a09c,0,0,0,0,18372,4218.8,0,0,0,0,0,0,0,0
tor,00ce25a7206d091444a65f1157468c8cb256b586,1,1,1,0,1157,733.426,363,15,0.00135417,181,1,1,1,3463
tor,00d1093daf692b70d21d60f3333296097a01a376,0,0,0,0,12899,3198.18,0,0,0,0,0,0,0,0
tor,00d64fd2136e5e51abedced3801fb4be3cffc021,1,1,1,0,479,193.677,129,7,0.0000347222,860,0,44,28,4970
tor,00d7b60557883ac0c3ad4c27071d4efe1f7a3ffb,0,0,0,0,14082,3583.82,0,0,0,0,0,0,0,0
tor,00de055f4313e88a1fc7a00a3c746c123b572861,1,1,1,0,546,401.469,383,3,5.35825,132,0,1,0,818
tor,00e13c6d4d80986771ab453850c76201d48d0dfe,1,1,1,0,462,92.0769,145,0,0,0,0,4,0,0
tor,00e150a0e4967f5859f3eecb51fb54104d87335d,0,0,0,0,15530,3879.13,0,0,0,0,0,0,0,0
tor,00e15ba4772bb11c00e88f9e263966c856f1f275,1,1,1,0,1,0.99972,0,38,-0.518472,889,0,1,0,1670
tor,00e17092446fbe8adbbe67caa2cd9e5a99bc0f24,1,1,1,0,190,105.233,18,3,0.0232639,253,1,1,1,1523
tor,00e1818fff41d89517d488385b65289dedb2e3a8,1,1,2,0.734496,124,82.1933,105,2,9.59587,47,0,3,2,244
