fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code,project,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
a2d882aba9095bcd210fd956216f764fa3637eee,c7c3944ffeed2ec5588391df91f28f26cbf04265,0,0,0,0,347,4,Parrot,1.0,1.0,1.0,0.0,386.0,327.873,286.0,2.0,0.00579861,23.0,0.0,2.0,2.0,426.0
a2d882aba9095bcd210fd956216f764fa3637eee,5267d90d46fc402e818bcb8e9638ec2ac08b1a1c,0,0,0,0,318,107,Parrot,4.0,7.0,8.0,0.315518,412.0,351.157,488.0,2.0,15.9894,18.5,0.0,88.0,19.0,219.375
a2d882aba9095bcd210fd956216f764fa3637eee,c4c4db151a33b858b5fa2fc9b5fdae981fb9fac7,0,0,0,0,344,4,Parrot,1.0,1.0,1.0,0.0,390.0,307.356,270.0,2.0,0.389769,26.0,0.0,2.0,2.0,801.0
a2d882aba9095bcd210fd956216f764fa3637eee,1230c6aae432c7de51029055942c0ccec9b263fe,0,0,0,0,528,22,Parrot,2.0,3.0,3.0,0.372503,280.0,254.769,239.0,2.0,6.11096,5.0,0.0,11.0,11.0,280.333
a2d882aba9095bcd210fd956216f764fa3637eee,5beeb30a1ee2cc65015ffd28c1f7e2e743c8a37e,0,0,0,0,35,7,Parrot,1.0,1.0,1.0,0.0,19.0,18.9987,16.0,3.0,0.023588,23.0,0.0,3.0,4.0,717.0
a2d882aba9095bcd210fd956216f764fa3637eee,e8244b688b9cb8b32abb824f4de8fd932fc758a4,0,0,0,0,481,10,Parrot,1.0,1.0,1.0,0.0,334.0,275.724,236.0,2.0,0.683657,23.0,0.0,8.0,2.0,363.0
a2d882aba9095bcd210fd956216f764fa3637eee,97729a70487f8a498be89e00ae821032d0359b7e,0,0,0,0,470,111,Parrot,2.0,2.0,2.0,0.340898,313.0,278.281,262.0,2.0,1.32918,33.5,0.0,56.0,55.0,697.0
a2d882aba9095bcd210fd956216f764fa3637eee,71b0e74623cacc8694e430c3a4e006b846b9fa23,0,0,0,0,1078,704,Parrot,4.0,5.0,18.0,0.423183,45.0,44.1426,52.0,1.0,2.72377,0.5,0.0,608.0,96.0,72.8889
a2d882aba9095bcd210fd956216f764fa3637eee,2f11eb18e8d778c4e70ea8365e43e3823331941d,0,0,0,0,558,2068,Parrot,4.0,14.0,24.0,0.297026,303.0,253.375,374.0,2.0,3.93896,5.75,0.0,1727.0,341.0,156.125
a2d882aba9095bcd210fd956216f764fa3637eee,7236e103e09601d86b6dfa76fdea8b3199ce4b6b,0,0,0,0,201,39,Parrot,1.0,1.0,2.0,0.368404,508.0,423.365,329.0,2.0,30.2591,30.0,0.0,36.0,3.0,864.5
