fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code
7f8b2885d9f9feb396896f7d9d6086ac7731cf36,0c1f2720b38acf1b8968eac46ab887add37ee253,0,1,0,0,42,58
ddb0ef98f7986cf27f767348c7e181d991acb4ec,9694a0f7eaf7c105c44e2b3beb1578986f36a143,0,1,1,1,112,218
492407bcc98745577a68c0813c8cf529fa3d4da4,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,561,43123
d5e970b93fc0e5ab9d284c265b170eecee2ad0ad,adffa9b0f4128ca4832ddd03fdeca2c9fe434689,0,1,1,1,6,1118
6f2848f4a6027daf9ba77e2f7f62a563fd96cf1a,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,0,1,1,576,43123
6f2848f4a6027daf9ba77e2f7f62a563fd96cf1a,8c37499af82e57f0487319abca2242cbad4024b8,0,1,0,0,499,72
5ef3c1b09b486d711b556655c28b93e207a90399,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,0,1,1,585,43123
5ef3c1b09b486d711b556655c28b93e207a90399,adffa9b0f4128ca4832ddd03fdeca2c9fe434689,0,1,0,0,14,1118
a21556314d4437127a3325a0216512d9836113c8,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,591,43123
d542621155fff0ef5d59a4e5bb373ff7e7754d3b,60099341766faf7dd9409f1f660b8edb974a8b0e,0,1,1,1,150,372
2fda70fb4a5ee422b33cb0cf090492aa19a4894c,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,608,43123
25e2cd0db6673f0ae80534b983b57a8cde1a0be4,ed54fff2046fe6093078f625280725fcb19b9b33,0,1,1,1,181,210
5fae286cf448359d5a826acf7449ddc9edbad948,60099341766faf7dd9409f1f660b8edb974a8b0e,0,1,1,1,172,372
cfe4152b1dba09d95387e62e8bb1f46cdd86c7da,60099341766faf7dd9409f1f660b8edb974a8b0e,0,1,1,1,176,372
a558e560bd98446a4876e2feefe640c7cbde1681,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,0,1,1,620,43123
a558e560bd98446a4876e2feefe640c7cbde1681,2246f530af5436ed15f4024389f847c48096ea82,0,0,0,0,248,58
a558e560bd98446a4876e2feefe640c7cbde1681,67d9891926417dba53bf1641a0b2ac4b42f3d768,0,1,0,0,207,378
a558e560bd98446a4876e2feefe640c7cbde1681,955b472f8bd56c947f146b8b3d20b905fbc8b413,1,0,0,0,578,111
cbe86e04b3fdfee584f538e399b91863bd6c0feb,b9b300fcbd9b07a98486ba27827af662f99106b0,0,1,1,1,163,24
3d1cc16a9b143b96b353b7b03c06ca0f7e544304,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,622,43123
744b54a829f4b66e77ecf6e8f7894a6ab7863011,b20c2641d4ff219ea56c69fb3ff599e0399b2566,0,0,1,1,193,51431
744b54a829f4b66e77ecf6e8f7894a6ab7863011,a54333842fff597986ec686ed46c91007e76fa18,0,1,0,0,121,65
406dcbd8daa8bf6e17348006c938168ab6c08e53,0db4077c3ac7c914c30169cce6ab7ddfb8aec3c9,0,1,0,0,12,183
406dcbd8daa8bf6e17348006c938168ab6c08e53,88e90d5601aa29e606ed2c2e248f34df46ecad6f,0,0,1,1,411,1634
406dcbd8daa8bf6e17348006c938168ab6c08e53,e6b216bdbbcba4a5e0d4d6200303b34b65d6d046,1,0,0,0,51,322
dea0cc01cf92af4ee7966130f1a6d01203655442,808e625d9d74fb533ba8445e5d79c18b4fc3fb65,0,1,0,0,73,350
dea0cc01cf92af4ee7966130f1a6d01203655442,adffa9b0f4128ca4832ddd03fdeca2c9fe434689,0,0,1,1,89,1118
9dd8ef4777957138ace4c9728d15283e2c2d85e8,15f84a391d9506774db069bccb1f89ebf8987d1a,0,1,1,1,1,29
b56b5885d01c14041a5281fd60a46207b1b680dd,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,0,1,1,670,43123
b56b5885d01c14041a5281fd60a46207b1b680dd,2dc24fc2343b6120d8b80df9e9e070917cc197d9,1,0,0,0,508,13
b56b5885d01c14041a5281fd60a46207b1b680dd,37cde3d864406f2af65dc03eae45a216ea969600,0,0,0,0,495,385
b56b5885d01c14041a5281fd60a46207b1b680dd,75aee1714b60b8b43ebaebf9bffe5af43ff90cde,0,1,0,0,24,3
78d305eb167af7f5446c5d4812a160946f493234,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,0,1,1,670,43123
78d305eb167af7f5446c5d4812a160946f493234,0c1f2720b38acf1b8968eac46ab887add37ee253,0,1,0,0,157,58
78d305eb167af7f5446c5d4812a160946f493234,a52512863e07a70363768a2d5d8da79b869a7fd6,1,0,0,0,623,95
78d305eb167af7f5446c5d4812a160946f493234,036e11c9ee6f70040208d1b139a48ebe9188906b,0,0,0,0,645,278
78d305eb167af7f5446c5d4812a160946f493234,56dbec46db99d5ba764714a585fe9ce17ec8dcd8,0,0,0,0,647,88
78d305eb167af7f5446c5d4812a160946f493234,c7d2760521066f07afb36d9e1053bb44e9da8a71,0,0,0,0,643,30
e010a2d90beb44b7d6751098eed512b61d3a42f2,80f1590265e2c721707aef471cca995c4a7567a8,0,1,1,1,24,779
3bbd966a829b10285fbf9548b280f05ca2a45543,b56b5885d01c14041a5281fd60a46207b1b680dd,1,1,1,1,21,111
cd019871e3b492ad32d9a3ac11973100687b06b7,898621d0a1d4ca36f56f728bce54f370790a9ce0,0,1,0,0,82,35
cd019871e3b492ad32d9a3ac11973100687b06b7,eee3980749c13f8f80ed7cf839b325a2d56ffad4,0,0,0,0,287,12
cd019871e3b492ad32d9a3ac11973100687b06b7,1b747c526c501bc167a02f4dd7cfc8cee34f870f,0,0,0,0,96,6
cd019871e3b492ad32d9a3ac11973100687b06b7,55176116a225c7664d082580faa6dde12a3bb00e,0,0,1,1,359,386
fea4fec0bc3cd72b57cc65e75ef6ba2131cdedcb,c8886a0424c426818566c21d5a69c4cb8f5d41e3,1,1,1,1,25,613
58fae896fe60647b537e20e7f2281e0c377d59f0,647731e399fc824c02fdf851d91ce4477958e7fe,0,1,1,1,7,47
e5ba82a44b2f3badf29312c47a7bb80e978d4e46,bdf2a9bb124b8fc34120949b322202497741f239,0,1,1,1,151,368
ea0cde2cf440a28733cd6511a3649b4de6405a58,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,718,43123
d262285827d244a058319e9607f63c9e74e9fbb0,09fbf8e0caa60ab737db0941addd75357088c4c3,0,1,0,1,221,40
d262285827d244a058319e9607f63c9e74e9fbb0,f2b92d4c7bd7a71ec1118696c119bac22d4b836c,0,0,1,0,267,29
d13ce702a8346b72bf6461cb1da52d08d39a2d4a,d262285827d244a058319e9607f63c9e74e9fbb0,0,1,1,1,1,4
458836abd3e74fce7addfef3749391176cc72085,5d7633d74cc79d6bb6498c9dd57d62b6718648e2,0,1,1,1,1,240
fc0b68af287e7c26a377e866ee83617aa1a8b3d5,364d6029b6e095eeee31525c291b0181d0a78f1a,0,1,1,1,30,910
84dea7e971adecbc9c5a06f6500fffb84065d943,8f15eea910c097893c7bdc24725cf7ceff93cf32,0,1,1,1,10,435
94d2bbb2214f3d88ac6cc1b1c48a59b377222727,cd019871e3b492ad32d9a3ac11973100687b06b7,0,0,1,0,53,61
94d2bbb2214f3d88ac6cc1b1c48a59b377222727,fc73bf0a0abf739a9a8e6b1a5197dab113e76f27,0,1,0,0,8,360
94d2bbb2214f3d88ac6cc1b1c48a59b377222727,8f15eea910c097893c7bdc24725cf7ceff93cf32,0,0,0,1,11,435
3ca507d73ffc07087ed4e95e010a101298f78146,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,0,1,1,746,43123
3ca507d73ffc07087ed4e95e010a101298f78146,d9e99d468851a5e0c23c8d205bd953ee67819231,0,0,0,0,394,659
3ca507d73ffc07087ed4e95e010a101298f78146,adffa9b0f4128ca4832ddd03fdeca2c9fe434689,0,0,0,0,175,1118
3ca507d73ffc07087ed4e95e010a101298f78146,705ce56694823fcfdc5075e6a0e5f1350725c1fd,0,0,0,0,564,305
3ca507d73ffc07087ed4e95e010a101298f78146,e9980412296b6469f39605f48ea527776d7ac718,0,0,0,0,469,90
3ca507d73ffc07087ed4e95e010a101298f78146,5ef3c1b09b486d711b556655c28b93e207a90399,0,1,0,0,161,114
3ca507d73ffc07087ed4e95e010a101298f78146,0493b27222bd8da9b724b46200bf393c120b1ec9,0,0,0,0,477,120
7c0f5c3237ddf0f3cbc12382bbe59b177075659a,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,761,43123
dbc613199bd9f7da81692d5c0941339d3ffe0a8e,2b7a7599bb06f5cbcf01803fe1ae264b2b07d425,0,1,0,1,7,327
dbc613199bd9f7da81692d5c0941339d3ffe0a8e,c19bf9cffe163dce8bc687e6276c533ea5199808,0,0,1,0,600,215
dbc613199bd9f7da81692d5c0941339d3ffe0a8e,fb6381fb35c8af868b5134c3d7a91699a7d01090,0,0,0,0,481,265
dbc613199bd9f7da81692d5c0941339d3ffe0a8e,9ceaff73183837387835f9e96c80e58fc4aea34c,0,0,0,0,470,251
b9a657db2cbd7d8c9d168686f6ce1b384f1f60cd,a9b3139ff8f4e36ce3971f1ea97e5712d03763d7,1,1,1,1,11,100
ef60eee57ab8a86e47847761532cf72a1205b668,325322898cc413454feede0201b61da1abe1e67e,0,1,1,1,19,33
4549fd7510fe752b98c7b77d9817d4300c9d824c,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,0,1,1,792,43123
4549fd7510fe752b98c7b77d9817d4300c9d824c,5d7633d74cc79d6bb6498c9dd57d62b6718648e2,0,0,0,0,56,240
4549fd7510fe752b98c7b77d9817d4300c9d824c,2b7a7599bb06f5cbcf01803fe1ae264b2b07d425,0,1,0,0,24,327
4549fd7510fe752b98c7b77d9817d4300c9d824c,4deb0d619c06e8f0d30f972a6412d65f19b7f921,0,0,0,0,240,70
4549fd7510fe752b98c7b77d9817d4300c9d824c,c19bf9cffe163dce8bc687e6276c533ea5199808,0,0,0,0,617,215
53324222398e4cb2d9c3159133b1a28aaf5158d4,8b345655990f1e889a13614e7acc20cf533adeb1,0,1,1,1,793,2
46713c3d7d10f56ab4df29d04396958a6660c8e6,fce57abeca1d8388baaaac8511540aed486177dc,0,1,1,1,184,656
820532b7aa6a600051b5b0dea7fe0993ec6d7e9a,658f41cb30765185ef04611da43b9ece5b66568c,0,1,1,1,148,112
b46b6a8db90c2316c3e9e7d77ab6d620a6b4f775,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,0,1,1,822,43123
b46b6a8db90c2316c3e9e7d77ab6d620a6b4f775,a78f752143cc8f54647df4ee0ea4e5e0c31ebd58,0,1,0,0,748,4
0ef1ca00243671a0a969af68a173669fda0783b9,dea0cc01cf92af4ee7966130f1a6d01203655442,0,1,1,1,170,138
c5cc145538e9becc4fc442629d5957f9cc0d451b,24f6bed8552684a99513d3b94067bf88603fdde1,0,1,1,1,19,218
fbb741febbd14bb287e42f1c802a7538a82b9e9e,e010a2d90beb44b7d6751098eed512b61d3a42f2,0,1,1,1,148,39
ac9dd922726b5e886cada4788cf43906f18aedf5,260d90ba029483c4d2bca77ad89abf8d16e7d545,0,1,1,1,240,209
ff9246316fdc8c74f5404573dd24f5f853b4f3bb,0fad22512ac5cb56e400cadfeaafa02387282ec1,0,1,1,1,3,67
ff9246316fdc8c74f5404573dd24f5f853b4f3bb,4d9cde43be2335ab78615ab7715e323f8c04a933,0,0,0,0,4,43
