fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code,la,ld,lt,ns,nd,nf,entropy,fix,ndev,age,nuc,exp,rexp,sexp
dbd9d99bcd01849b737f608a8862c4300cbae217,3373572e15c00b2dab9f005a85bb420fae107b2b,0,1,1,1,38,173,99.0,74.0,376.25,1.0,3.0,8.0,0.180221,0.0,3.0,5.58804,3.875,63.0,61.1651,63.0
c54900f63e3841c571e637b364efd53f9af3c9c9,6a41ede2d426cea1cb29103305362383f4d10f4d,0,1,1,1,72,260,203.0,57.0,312.167,1.0,3.0,6.0,0.33585,0.0,3.0,6.20407,3.83333,52.0,50.7941,52.0
738de8cfa846936ae754ccfda607e4fb41c2170b,65568814179d2a28cc83d68a5e467c24b86da2f6,0,1,1,1,13,68,48.0,20.0,360.0,1.0,2.0,5.0,0.39325,1.0,3.0,1.92272,8.4,91.0,87.8269,90.0
e748be32da843211e68e60e3ec247bbfeef1d33a,15360056bdb9299b027740ecf2f96091f0a847cc,0,1,1,1,161,5,3.0,2.0,45.0,2.0,2.0,2.0,0.310917,0.0,2.0,7.35422,4.0,18.0,17.4543,10.0
c692d9e84421447b65fd23d31ac16b81fa055005,6b572b3f253d26fc1d9edf33e3e7327e9fde4f29,0,0,0,0,188,219,134.0,85.0,204.0,1.0,1.0,1.0,0.0,0.0,1.0,1.14196,2.0,20.0,19.6777,14.0
c692d9e84421447b65fd23d31ac16b81fa055005,c19bf9cffe163dce8bc687e6276c533ea5199808,0,0,1,0,190,215,212.0,3.0,98.2,1.0,3.0,5.0,0.0635533,0.0,3.0,3.05831,1.2,11.0,10.7786,5.0
c692d9e84421447b65fd23d31ac16b81fa055005,9ceaff73183837387835f9e96c80e58fc4aea34c,0,1,0,1,60,251,131.0,120.0,372.0,1.0,1.0,1.0,0.0,0.0,3.0,0.13125,9.0,86.0,83.2734,86.0
067fe27699cf3754cdf4aaf067ff67fa4fdf04c5,c9ecbaccb365ba39bd8839f61ae245cdc295317b,0,1,1,1,116,412,217.0,195.0,327.0,1.0,2.0,6.0,0.248436,0.0,3.0,8.87379,2.16667,64.0,61.6718,64.0
204edb4a2703d6ba58c13ab0e8cd6fe160dad14b,4fccaa514b73f02ee780b251488aa79d0d606b6a,0,1,1,0,8,29,21.0,8.0,73.0,1.0,1.0,5.0,0.538163,0.0,1.0,1.76299,3.4,50.0,46.5216,38.0
204edb4a2703d6ba58c13ab0e8cd6fe160dad14b,bb3bd76fe90cc02027cf9b863bcc9bc0a86ca37e,0,0,0,1,11,539,518.0,21.0,37.25,1.0,1.0,8.0,0.308351,0.0,1.0,0.526891,1.5,47.0,43.7603,35.0
204edb4a2703d6ba58c13ab0e8cd6fe160dad14b,0de35588c1a3ae45ba13d50d2b96533e5b0595af,0,0,0,0,6,251,250.0,1.0,65.8,1.0,1.0,5.0,0.161153,0.0,1.0,0.806775,3.2,52.0,48.5175,40.0
d0c431a2a363057d9779ae12fa66d47189424e64,bb3bd76fe90cc02027cf9b863bcc9bc0a86ca37e,0,1,1,1,13,539,518.0,21.0,37.25,1.0,1.0,8.0,0.308351,0.0,1.0,0.526891,1.5,47.0,43.7603,35.0
d0c431a2a363057d9779ae12fa66d47189424e64,126a7f5c110cf38d54a41d9c387cd975fc3a9e37,0,0,0,0,12,4,3.0,1.0,72.0,1.0,1.0,1.0,0.0,0.0,1.0,0.00275463,7.0,48.0,44.76,36.0
33abe80b594f3ae85ea95815fbcd486fd085ad07,151997b1e1ab28c39f2ef7c05d0d705c4a418df4,0,1,1,1,24,19,18.0,1.0,34.0,1.0,1.0,2.0,0.330299,0.0,1.0,0.00324074,2.0,40.0,36.9709,28.0
e9e89345778d9a1a0f4dcbe2f2ff2d97c0651562,0e585d81026edb51b403e709c9b6519cfd9493b1,0,1,1,1,2,14,10.0,4.0,73.0,1.0,2.0,3.0,0.409223,0.0,3.0,0.00658179,5.66667,63.0,59.5052,51.0
83a840656cecf00f299804bb538639dd2bb5f8e2,c1886c651365e1db415a9efd2d4e621eea20cf32,0,1,1,1,133,27,20.0,7.0,211.4,1.0,2.0,5.0,0.29725,0.0,3.0,9.51099,4.6,76.0,73.6534,76.0
03578e66b5d3f0a0a8d90c90f18bd8ab1e3bdc4c,917e101c2c687387ebb50d79948094fd2ead2644,0,1,1,1,41,43,38.0,5.0,293.0,1.0,1.0,1.0,0.0,0.0,3.0,9.91323,15.0,0.0,0.0,0.0
fd3d16d37986eef69dbaa1073b36b2e1c2bf22f1,d9e99d468851a5e0c23c8d205bd953ee67819231,0,1,1,1,79,659,552.0,107.0,331.5,1.0,2.0,8.0,0.302989,0.0,4.0,2.23635,8.125,33.0,31.5029,24.0
9694a0f7eaf7c105c44e2b3beb1578986f36a143,1c51cc34cd58b2f3b838cca57aebf3a9d3b4d525,0,0,0,0,16,7,7.0,0.0,163.0,1.0,1.0,1.0,0.0,0.0,1.0,0.00969907,2.0,47.0,43.8055,9.0
9694a0f7eaf7c105c44e2b3beb1578986f36a143,151997b1e1ab28c39f2ef7c05d0d705c4a418df4,0,0,0,0,32,19,18.0,1.0,34.0,1.0,1.0,2.0,0.330299,0.0,1.0,0.00324074,2.0,40.0,36.9709,28.0
9694a0f7eaf7c105c44e2b3beb1578986f36a143,21ea1ac61e087fe5d6d273f7e129cd5287b134c1,0,0,0,0,21,33,31.0,2.0,46.0,1.0,1.0,2.0,0.175022,0.0,1.0,0.00868634,6.0,51.0,47.5195,39.0
9694a0f7eaf7c105c44e2b3beb1578986f36a143,204edb4a2703d6ba58c13ab0e8cd6fe160dad14b,0,0,0,0,14,10,5.0,5.0,129.4,1.0,1.0,5.0,0.827729,1.0,2.0,0.434889,2.2,54.0,50.5151,42.0
9694a0f7eaf7c105c44e2b3beb1578986f36a143,462e450bb334e27a634bb3667fb4466dd4708338,0,0,0,0,39,138,138.0,0.0,0.0,1.0,1.0,3.0,0.503534,0.0,0.0,0.0,0.0,33.0,30.0735,21.0
9694a0f7eaf7c105c44e2b3beb1578986f36a143,d294a7f30f684d6f4e928529c839767ca6b1aa72,0,0,0,0,27,87,81.0,6.0,48.2,1.0,1.0,5.0,0.178761,0.0,1.0,0.85747,2.4,45.0,41.8786,33.0
9694a0f7eaf7c105c44e2b3beb1578986f36a143,67d9891926417dba53bf1641a0b2ac4b42f3d768,0,0,0,0,35,378,224.0,154.0,68.5,1.0,1.0,4.0,0.174236,0.0,1.0,0.310987,0.75,37.0,33.9719,25.0
9694a0f7eaf7c105c44e2b3beb1578986f36a143,bb3bd76fe90cc02027cf9b863bcc9bc0a86ca37e,0,0,0,1,25,539,518.0,21.0,37.25,1.0,1.0,8.0,0.308351,0.0,1.0,0.526891,1.5,47.0,43.7603,35.0
9694a0f7eaf7c105c44e2b3beb1578986f36a143,ab7ef4ed3b9a65b5eff2a6be0934ef3f3cab00f6,0,0,0,0,13,3,2.0,1.0,29.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0369676,1.0,49.0,45.8041,11.0
9694a0f7eaf7c105c44e2b3beb1578986f36a143,e9e89345778d9a1a0f4dcbe2f2ff2d97c0651562,0,1,0,0,2,5,3.0,2.0,51.5,1.0,2.0,2.0,0.310917,1.0,4.0,0.00637153,7.0,65.0,61.5047,53.0
