fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code,la,ld,lt,ns,nd,nf,entropy,fix,ndev,age,nuc,exp,rexp,sexp
6a41ede2d426cea1cb29103305362383f4d10f4d,b581c8cfc784b74e74af80307a799cb4437f7845,1,0,0,0,104,77,74.0,3.0,207.0,1.0,3.0,3.0,0.0885493,0.0,2.0,0.000250772,1.0,5.0,5.0,5.0
2383fd8813a83b27f7bc895d19146952cc32c62b,15360056bdb9299b027740ecf2f96091f0a847cc,0,1,1,1,67,5,3.0,2.0,45.0,2.0,2.0,2.0,0.310917,0.0,2.0,7.35422,4.0,18.0,17.4543,10.0
4a0456fb8e41e54d9c6ebf4ff0d7f942d7aa27f9,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,254,43123,,,,,,,,,,,,,,
315645804133e190e23be954787f5d64144d33d5,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,0,1,1,256,43123,,,,,,,,,,,,,,
315645804133e190e23be954787f5d64144d33d5,007b75f78a1818a020523acb540c381e4d588f60,1,0,0,0,118,154,135.0,19.0,450.0,1.0,3.0,5.0,0.332496,0.0,1.0,5.97844,0.0,0.0,0.0,0.0
315645804133e190e23be954787f5d64144d33d5,37cde3d864406f2af65dc03eae45a216ea969600,0,0,0,0,81,385,340.0,45.0,179.667,1.0,3.0,6.0,0.260203,0.0,3.0,2.05659,2.16667,30.0,29.5852,30.0
315645804133e190e23be954787f5d64144d33d5,6a41ede2d426cea1cb29103305362383f4d10f4d,0,1,0,0,9,260,203.0,57.0,312.167,1.0,3.0,6.0,0.33585,0.0,3.0,6.20407,3.83333,52.0,50.7941,52.0
315645804133e190e23be954787f5d64144d33d5,88e90d5601aa29e606ed2c2e248f34df46ecad6f,0,0,0,0,12,1634,699.0,935.0,253.133,1.0,6.0,15.0,0.305106,0.0,4.0,3.94355,1.2,49.0,48.1746,49.0
a0475b3c292790a666ee69dfb416ba0e5b66be07,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,254,43123,,,,,,,,,,,,,,
ea5e13893e320f640c2061ce8e09729d44ad23a9,fad7d58fc9ef8da03acc6f4d1a11a2844f4cd2ce,0,1,1,1,28,24,12.0,12.0,95.0,1.0,1.0,1.0,0.0,0.0,1.0,4.42453,1.0,24.0,23.238,3.0
3266818b42fbb035ea8d9b48c8a97da5f3e9d756,191c0dec32ee22ec833c2afc0107058f66982a0f,0,1,1,1,6,217,135.0,82.0,42.6667,1.0,2.0,3.0,0.365262,0.0,3.0,7.34708,1.33333,61.0,59.1651,61.0
a61f4df0b9b23250a5a59285aad82cf7d82a19b8,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,0,1,1,281,43123,,,,,,,,,,,,,,
